question,features,discernatron_reliable,classifier,accuracy
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",TRUE,nb,0.6507
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",TRUE,nb,0.5187
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",TRUE,nb,0.6027
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,nb,0.4633
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",TRUE,nb,0.3688
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",TRUE,nb,0.6342
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,nb,0.6522
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,nb,0.6357
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,nb,0.6357
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,nb,0.6522
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,nb,0.6522
Would you click on this page when searching for '...'?,survey-only,TRUE,nb,0.5901
Would you click on this page when searching for '...'?,survey & page info,TRUE,nb,0.5721
Would you click on this page when searching for '...'?,survey & traffic,TRUE,nb,0.5766
Would you click on this page when searching for '...'?,"survey, page info, and traffic",TRUE,nb,0.5541
